grand_area,OverallQual,GarageCars,total_rooms,MasVnrArea,Fireplaces,LotFrontage,ExterQual,HeatingQC,BsmtQual,KitchenQual,GarageFinish,MasVnrType,SalePrice
2612,5,1,8,0.0,0,50.0,TA,Ex,TA,TA,Unf,None,119000
3199,6,2,7,0.0,1,87.0,Ex,Ex,Gd,TA,Unf,None,176500
3308,7,3,9,72.0,1,53.0,Gd,Ex,Ex,Gd,Fin,BrkFace,194201
1728,4,0,6,0.0,1,70.0,TA,TA,TA,TA,Unf,None,115000
2754,7,2,8,81.0,2,85.0,TA,TA,Gd,Gd,RFn,BrkFace,170000
2548,7,1,7,0.0,1,60.0,TA,TA,Gd,TA,RFn,None,149000
2252,6,2,6,0.0,1,24.0,TA,TA,Gd,TA,Fin,None,124000
1460,4,2,5,0.0,0,60.0,TA,TA,TA,TA,Unf,None,109900
2624,7,2,10,0.0,1,85.0,Gd,Ex,Gd,Gd,Fin,None,155835
2279,5,1,6,0.0,0,70.0,TA,Ex,TA,TA,Unf,None,117500
2279,5,1,6,0.0,0,65.0,TA,Gd,Gd,TA,Unf,None,126000
4238,7,3,10,205.0,1,79.0,Ex,Ex,Ex,Ex,Fin,Stone,311872
2577,5,2,7,0.0,1,98.0,TA,TA,TA,TA,Unf,None,144000
2958,6,2,8,0.0,0,65.0,Gd,Ex,Gd,Gd,RFn,None,173000
3930,5,2,6,0.0,0,90.0,TA,Gd,TA,TA,Unf,None,153500
2130,5,1,8,0.0,0,60.0,TA,Fa,TA,TA,Unf,None,126000
2116,6,2,5,170.0,0,57.27,Gd,Ex,Gd,Gd,Fin,BrkFace,140000
2986,5,2,8,0.0,1,85.0,TA,Gd,TA,Gd,RFn,None,179900
2448,5,2,6,0.0,0,60.0,TA,Gd,TA,Gd,RFn,None,129000
2646,6,2,6,0.0,1,50.0,TA,Gd,TA,Gd,Unf,None,110500
3040,7,2,8,0.0,0,73.0,Gd,Ex,Gd,Gd,Fin,None,176485
5002,10,3,9,286.53,1,107.0,Ex,Ex,Ex,Ex,Fin,None,465000
3015,5,2,8,0.0,0,71.0,TA,Fa,TA,TA,Unf,None,166000
2680,5,2,6,0.0,0,74.0,TA,Gd,Gd,TA,Unf,None,155000
2568,5,1,8,0.0,1,41.0,TA,Ex,TA,TA,RFn,None,127000
2788,5,1,6,0.0,0,62.45,TA,TA,Gd,Gd,Unf,None,143500
5096,8,2,11,337.0,1,85.0,Gd,Ex,Gd,Gd,Fin,BrkFace,285000
5066,8,3,11,506.0,1,174.0,Gd,Ex,Gd,Ex,Fin,BrkFace,403000
2712,6,1,8,0.0,0,84.0,TA,TA,TA,TA,Unf,None,125000
3648,7,2,8,183.0,0,78.0,Gd,Ex,Gd,Gd,RFn,BrkFace,214000
4744,7,4,9,0.0,1,65.0,Gd,TA,TA,Gd,Unf,None,265979
2669,6,1,7,0.0,0,66.0,TA,TA,Gd,Fa,Unf,None,128000
3872,6,2,9,0.0,2,71.28,TA,Ex,TA,TA,Fin,None,237500
3640,6,2,11,0.0,2,85.0,TA,TA,Fa,TA,Unf,None,206900
2484,5,1,7,0.0,0,59.0,TA,Gd,TA,TA,Unf,None,147000
3868,7,2,10,180.0,1,68.0,Gd,Ex,Gd,Gd,RFn,Stone,220000
4329,9,3,10,204.0,2,77.92,Gd,Ex,Ex,Ex,Fin,BrkFace,313000
1659,5,1,6,0.0,0,85.0,TA,Fa,TA,TA,Unf,None,83000
2949,6,2,9,336.0,1,77.0,Gd,TA,Gd,Gd,Fin,BrkFace,178000
3236,6,2,7,135.0,1,34.0,Gd,Ex,Gd,Gd,RFn,Stone,196000
4520,9,3,10,200.0,1,86.0,Gd,Ex,Ex,Gd,Fin,Stone,377426
2661,5,2,7,168.0,0,79.0,TA,TA,TA,TA,RFn,BrkFace,156000
2702,5,1,7,120.0,0,92.0,TA,Ex,TA,Gd,Unf,BrkFace,130000
2116,6,2,4,147.0,1,35.62,Gd,Ex,Gd,Gd,RFn,BrkFace,141000
2490,5,1,6,0.0,1,80.0,Gd,Gd,TA,Gd,Unf,None,147000
3696,7,3,9,0.0,1,71.28,Gd,Ex,Gd,Gd,RFn,None,235000
2228,4,1,6,0.0,0,50.0,TA,Gd,TA,Fa,Unf,None,108500
2570,5,2,7,376.0,0,24.0,TA,Ex,TA,TA,Unf,BrkFace,122500
3997,6,2,9,113.0,1,71.28,TA,TA,Gd,TA,Unf,BrkCmn,129000
2452,4,2,7,0.0,0,67.0,TA,TA,Fa,TA,Unf,None,102000
3210,7,2,8,94.0,1,48.0,Gd,Ex,Gd,Gd,RFn,Stone,202500
2986,5,1,6,0.0,2,115.0,TA,Gd,TA,TA,RFn,None,170000
2775,6,1,7,0.0,2,60.0,TA,Ex,TA,TA,Unf,None,140000
3798,5,1,13,0.0,0,60.0,TA,TA,TA,TA,RFn,None,107500
3658,7,2,10,0.0,0,76.0,Gd,Ex,Gd,Gd,RFn,None,233000
2187,4,1,5,0.0,0,57.27,TA,Ex,TA,TA,Unf,None,135750
6168,10,3,12,200.0,2,105.0,Ex,Ex,Ex,Ex,Fin,Stone,555000
1856,4,1,5,0.0,0,60.0,Fa,Gd,TA,TA,Unf,None,82000
2178,5,2,9,0.0,0,73.0,TA,Gd,Gd,Gd,Fin,None,167500
3212,7,2,8,240.0,1,43.0,Gd,Ex,Gd,Gd,RFn,Stone,185850
3306,8,2,11,0.0,0,85.0,Gd,Ex,Gd,Gd,Fin,None,202900
3242,6,2,7,387.0,2,80.0,TA,TA,TA,TA,RFn,BrkFace,166000
2376,5,1,7,0.0,0,60.0,TA,Gd,Fa,TA,Unf,None,67000
4485,8,3,9,428.0,1,75.0,Gd,Ex,Ex,Gd,RFn,BrkFace,147000
3926,6,2,9,120.0,0,70.0,Gd,Ex,Gd,Gd,RFn,BrkFace,200000
3625,6,2,13,0.0,1,75.0,TA,TA,TA,TA,Unf,None,240000
4752,7,3,12,220.0,1,77.0,Gd,Ex,Ex,Ex,Fin,Stone,383970
2752,4,2,6,0.0,0,94.0,TA,Gd,TA,TA,Unf,None,132250
2026,5,1,6,0.0,0,62.0,TA,TA,TA,TA,RFn,None,130000
2180,5,1,6,0.0,0,61.0,TA,TA,TA,TA,Unf,None,119500
3254,7,1,7,0.0,1,86.0,Gd,Gd,Gd,Gd,Fin,None,250000
2848,6,2,9,0.0,0,65.0,Gd,Ex,Gd,Gd,RFn,None,175900
3419,6,2,12,0.0,0,85.66,TA,Gd,TA,Gd,Unf,None,214500
2128,5,1,6,0.0,0,88.0,TA,TA,Gd,TA,Unf,None,110000
4685,7,2,10,0.0,2,150.0,TA,TA,Gd,TA,RFn,None,375000
3096,7,2,8,82.0,0,64.0,Gd,Ex,Gd,Gd,RFn,Stone,194500
3197,5,1,9,335.0,0,81.0,TA,Ex,TA,TA,Unf,BrkFace,131500
2321,5,2,6,0.0,1,65.0,TA,TA,Gd,TA,Unf,None,119900
2096,5,1,6,0.0,0,75.0,TA,TA,TA,TA,Unf,None,128200
2699,6,2,8,0.0,1,85.0,TA,TA,Gd,TA,RFn,None,179900
2282,4,1,6,0.0,0,51.0,TA,TA,TA,TA,Unf,None,121600
3033,7,2,8,0.0,0,72.0,Gd,Ex,Gd,Gd,RFn,None,183000
2598,6,2,8,0.0,1,68.22,TA,Gd,Gd,TA,Fin,None,187500
3205,7,2,8,0.0,0,65.0,Gd,Ex,Gd,Gd,RFn,None,185000
2999,6,2,7,85.0,1,62.45,Gd,TA,Gd,Gd,Unf,BrkFace,180000
3240,7,2,9,0.0,1,60.0,TA,Gd,TA,Gd,Fin,None,189000
2391,6,1,7,0.0,0,70.0,TA,TA,TA,TA,RFn,None,154500
3162,6,2,9,0.0,0,65.0,TA,Ex,Gd,Gd,RFn,None,231500
3597,7,2,11,34.0,1,85.52,TA,Fa,TA,Gd,Fin,BrkFace,235000
2144,6,2,6,80.0,0,35.0,TA,Ex,Gd,TA,RFn,BrkFace,148000
2856,7,2,7,168.0,0,80.0,TA,TA,TA,TA,Unf,BrkFace,140000
2584,6,2,10,0.0,0,51.0,TA,Ex,Gd,Gd,Fin,None,176000
5282,9,3,12,870.0,2,56.0,Ex,Ex,Ex,Ex,Fin,BrkFace,437154
4638,8,3,9,426.0,1,96.0,Ex,Ex,Ex,Ex,Fin,Stone,394617
3736,8,2,7,481.0,1,44.0,Gd,Ex,Gd,Gd,Fin,Stone,235000
4005,8,3,7,0.0,1,89.0,Gd,Ex,Gd,Gd,RFn,None,262000
3251,7,2,9,158.0,0,68.0,Gd,Ex,Gd,Gd,RFn,BrkFace,193000
2273,5,2,10,0.0,0,75.0,TA,TA,TA,Gd,Unf,None,126000
3013,6,2,7,0.0,1,68.22,TA,Ex,Gd,Gd,Unf,None,173000
2304,4,2,6,0.0,0,62.45,TA,TA,TA,TA,Unf,None,111250
2962,6,2,7,0.0,1,68.22,Gd,TA,Gd,TA,RFn,None,165000
4730,7,2,9,287.0,1,71.28,TA,TA,Gd,TA,RFn,BrkFace,180000
4730,9,3,10,66.0,1,129.0,Gd,Ex,Ex,Ex,Fin,BrkFace,315000
3448,7,2,8,0.0,0,67.0,Gd,Ex,Gd,Gd,RFn,None,187100
2884,5,1,7,0.0,0,68.0,TA,TA,TA,TA,Unf,None,129000
2690,5,2,7,0.0,0,70.0,TA,TA,TA,TA,Fin,None,132000
2811,6,1,7,0.0,1,52.0,TA,TA,TA,TA,Unf,None,127500
3194,7,2,10,0.0,2,51.0,TA,Gd,TA,TA,Unf,None,129900
1587,1,0,5,0.0,0,57.27,Fa,Gd,Fa,Fa,Unf,None,61000
3036,3,3,7,0.0,0,120.0,Fa,TA,TA,TA,RFn,None,81000
3098,7,1,8,600.0,2,71.28,TA,Ex,TA,TA,Unf,BrkFace,169500
3048,6,2,9,120.0,0,76.0,Gd,Ex,Gd,Gd,RFn,BrkFace,187000
1568,3,0,7,0.0,0,50.0,TA,Fa,TA,TA,Unf,None,37900
1576,4,0,5,0.0,2,57.27,TA,TA,TA,TA,Unf,None,100000
2790,6,2,9,0.0,1,71.28,TA,Gd,Gd,TA,RFn,None,178000
4124,8,3,10,208.0,1,116.0,Gd,Ex,Gd,Gd,RFn,Stone,255000
2214,7,2,9,0.0,1,71.28,TA,Ex,Gd,TA,Fin,None,180000
2574,6,2,10,0.0,1,65.0,Gd,Ex,Gd,Gd,Fin,None,163990
7592,10,3,13,1170.0,2,104.0,Ex,Ex,Ex,Ex,Fin,BrkFace,755000
3423,5,2,10,0.0,1,77.92,Gd,Ex,TA,Gd,Unf,None,172500
2384,5,1,7,0.0,0,80.0,TA,TA,TA,TA,Unf,None,118500
3025,5,1,8,0.0,1,50.0,TA,TA,TA,Gd,Unf,None,127000
3136,8,2,7,0.0,1,41.0,Gd,Gd,Gd,Gd,RFn,None,180000
3250,7,2,10,660.0,1,80.0,TA,TA,TA,TA,RFn,BrkFace,205000
3041,6,2,9,92.0,1,70.0,TA,Gd,TA,TA,RFn,BrkFace,172500
4365,8,3,9,630.0,1,85.0,Gd,Ex,Ex,Gd,Fin,BrkFace,312500
2116,6,2,5,170.0,0,57.27,Gd,Ex,Gd,Gd,Fin,BrkFace,144000
2088,5,1,6,0.0,1,60.0,TA,Gd,TA,TA,Unf,None,62383
2942,5,2,9,0.0,1,60.0,Gd,Ex,Gd,TA,Fin,None,192140
2478,6,1,8,0.0,0,60.0,TA,Ex,TA,TA,Unf,None,153575
2621,7,2,7,0.0,0,34.0,Gd,Ex,Gd,Gd,Unf,None,146000
2795,6,1,7,0.0,0,80.0,TA,Ex,TA,TA,Unf,None,140000
4152,9,3,8,70.0,1,89.0,Gd,Ex,Ex,Ex,Fin,Stone,315500
3375,7,2,10,0.0,0,79.0,Gd,Ex,Gd,Gd,RFn,None,213500
2545,3,1,7,0.0,0,49.0,TA,Ex,TA,TA,Unf,None,126175
3536,4,0,10,0.0,0,72.0,TA,TA,TA,TA,Unf,None,136500
3972,8,3,9,53.0,1,75.0,Gd,Ex,Gd,Gd,RFn,BrkFace,232000
3884,8,3,8,468.0,1,78.0,TA,Ex,Gd,Gd,RFn,Stone,245000
2188,5,1,7,41.0,0,68.22,TA,TA,TA,TA,Unf,BrkCmn,109900
3059,7,2,9,50.0,0,24.0,Gd,Ex,Gd,Gd,Unf,Stone,137500
3352,5,1,8,0.0,0,60.0,TA,Gd,TA,TA,Unf,None,138000
3364,7,2,9,340.0,1,82.0,Gd,Gd,Gd,Gd,Fin,BrkFace,228500
4996,10,3,13,1031.0,1,66.0,Ex,Ex,Ex,Gd,Fin,BrkFace,438780
3044,6,2,7,144.0,0,80.0,Gd,Ex,TA,Gd,RFn,BrkFace,145000
2378,5,2,6,0.0,0,120.0,TA,TA,TA,TA,Unf,None,122000
3218,6,2,6,0.0,1,78.0,TA,TA,TA,Gd,RFn,None,197500
3732,6,2,9,106.0,2,110.0,TA,Ex,TA,Gd,Fin,BrkFace,257500
3687,7,2,10,299.0,1,83.0,TA,Ex,Gd,TA,Fin,BrkFace,192000
2396,5,1,6,0.0,0,68.0,TA,Gd,TA,Gd,Unf,None,142125
2314,5,2,5,0.0,0,60.0,TA,TA,TA,Gd,Unf,None,135000
2388,5,2,7,0.0,0,60.0,TA,TA,TA,TA,RFn,None,123000
2228,6,1,6,0.0,1,50.0,TA,TA,TA,TA,RFn,None,120000
3106,5,1,8,145.0,1,68.0,TA,Ex,TA,TA,Unf,Stone,144500
2833,6,2,8,360.0,0,80.0,TA,TA,TA,TA,RFn,BrkFace,167900
2920,7,2,8,16.0,1,43.0,Gd,Ex,Gd,Gd,Fin,BrkFace,159895
2121,5,1,6,0.0,0,70.0,TA,Fa,TA,TA,Fin,None,120000
2107,5,2,10,75.0,1,100.0,TA,TA,TA,TA,Unf,BrkFace,115000
3080,7,2,6,0.0,1,85.0,TA,TA,TA,TA,Unf,None,167000
3762,7,2,10,0.0,1,77.92,Gd,Ex,Gd,Gd,Fin,None,236000
3834,5,2,11,0.0,0,51.0,TA,Ex,TA,TA,RFn,None,189000
1592,4,0,6,0.0,0,40.0,TA,Fa,TA,TA,Unf,None,55000
3170,7,2,7,0.0,1,47.0,Gd,Ex,Ex,Gd,RFn,None,208900
2554,7,1,8,0.0,1,52.0,TA,Gd,TA,TA,Unf,None,145000
4601,8,3,11,513.0,1,65.0,Gd,Ex,Gd,Gd,RFn,BrkFace,290000
2582,5,2,7,0.0,0,75.0,TA,Ex,TA,TA,Unf,None,131500
3166,7,2,7,0.0,1,60.0,Gd,Ex,Gd,Gd,RFn,None,187750
2444,5,2,7,153.0,0,71.0,TA,TA,TA,TA,Unf,BrkFace,135000
2128,4,2,5,0.0,0,140.0,TA,Ex,TA,TA,Unf,None,141000
4578,7,2,14,0.0,2,102.0,TA,Ex,TA,TA,Fin,None,197000
4430,7,2,11,456.0,1,134.0,Gd,Ex,Gd,Gd,RFn,BrkFace,320000
2727,6,1,7,176.0,0,66.0,TA,TA,TA,TA,Unf,BrkFace,155000
3936,6,2,9,0.0,1,84.0,TA,TA,TA,Gd,Unf,None,243000
4800,5,2,9,44.0,0,89.0,TA,TA,TA,TA,Unf,BrkFace,137900
2133,7,2,6,0.0,0,57.27,Gd,Ex,Gd,Gd,Unf,None,148800
3875,7,2,7,448.0,2,81.0,Gd,Ex,Gd,Gd,RFn,BrkFace,271000
3210,7,2,8,94.0,1,40.0,Gd,Ex,Gd,Gd,RFn,Stone,202665
2388,6,2,7,0.0,1,79.0,TA,Ex,TA,TA,Fin,None,159500
3018,6,2,9,0.0,1,71.28,TA,Ex,Gd,TA,Fin,None,181000
2028,6,1,6,0.0,0,70.0,TA,Ex,TA,TA,Unf,None,127500
2578,6,2,6,0.0,1,53.0,TA,TA,Gd,TA,RFn,None,127500
5023,9,3,13,268.0,1,67.0,Ex,Ex,Ex,Ex,Fin,Stone,446261
2984,6,2,8,365.0,1,90.0,Gd,Gd,TA,TA,Unf,BrkFace,175000
6070,10,3,10,705.0,2,77.92,Ex,Ex,Ex,Ex,RFn,BrkFace,466500
2928,8,2,7,0.0,1,40.0,Gd,Gd,Gd,Gd,Fin,None,189000
5346,8,3,14,340.0,1,77.0,Gd,Ex,Ex,Gd,RFn,Stone,424870
3808,5,1,12,84.0,0,85.66,TA,TA,TA,TA,Unf,BrkFace,119000
2512,4,1,7,0.0,1,68.22,TA,TA,TA,TA,RFn,None,141000
2461,6,2,7,266.0,1,69.0,TA,TA,TA,TA,RFn,BrkFace,155000
4797,8,2,11,362.0,2,98.0,Gd,Ex,Ex,Gd,RFn,BrkFace,325000
2496,6,2,6,0.0,0,73.0,TA,Ex,Gd,Gd,Unf,None,147000
3568,7,2,10,309.0,2,88.0,TA,Ex,TA,Gd,Fin,BrkFace,226000
3976,7,2,9,0.0,0,60.0,TA,Ex,TA,TA,Unf,None,159500
2476,6,2,7,0.0,1,62.45,TA,TA,Gd,TA,RFn,None,128000
2594,7,2,9,0.0,1,63.0,Gd,Ex,Gd,Gd,Fin,None,189000
2804,5,2,7,0.0,0,66.0,TA,Ex,TA,Gd,Unf,None,159000
2116,6,2,4,169.0,0,35.62,Gd,Ex,Gd,Gd,RFn,BrkFace,143000
3029,7,2,10,0.0,1,63.0,TA,Gd,Gd,TA,Fin,None,176500
2403,7,2,7,0.0,0,35.0,Gd,Ex,Gd,Gd,RFn,None,164700
2294,3,1,7,0.0,1,60.0,TA,Fa,TA,TA,Unf,None,91000
4030,7,3,9,27.0,1,50.0,Gd,Ex,Gd,Gd,RFn,BrkFace,240000
3388,6,1,11,0.0,0,69.0,TA,Gd,Fa,Fa,Unf,None,137000
2526,6,2,8,0.0,1,65.0,TA,Gd,Gd,TA,Fin,None,174000
3307,7,2,9,16.0,1,43.0,Gd,Ex,Gd,Gd,Fin,BrkFace,181000
2818,6,2,7,0.0,1,94.0,TA,TA,TA,TA,Unf,None,107000
4099,7,2,9,0.0,0,80.0,Gd,Ex,Ex,Gd,RFn,None,328000
1714,4,1,5,0.0,0,47.0,TA,TA,TA,TA,Unf,None,80000
3455,5,2,9,0.0,1,70.0,TA,Gd,Gd,TA,Unf,None,175000
4321,7,2,8,102.0,1,80.0,TA,Gd,Gd,TA,Fin,BrkFace,241500
4327,6,2,11,220.0,1,85.52,TA,TA,TA,Gd,Unf,BrkFace,250000
3020,7,2,8,0.0,1,65.0,Gd,Ex,Gd,Gd,Fin,None,164990
2228,5,2,5,0.0,0,74.0,TA,TA,TA,TA,Unf,None,137000
3568,7,2,8,183.0,0,78.0,Gd,Ex,Gd,Gd,RFn,BrkFace,204000
4223,8,2,9,396.0,1,71.28,Gd,Ex,Gd,Gd,Fin,BrkFace,287000
2360,5,2,6,0.0,0,57.0,Gd,Ex,Gd,TA,Unf,None,148000
3313,6,2,10,252.0,1,77.92,TA,Gd,TA,TA,RFn,BrkFace,190000
2632,5,1,9,0.0,0,51.0,TA,Ex,TA,TA,Unf,None,137500
2955,6,2,7,0.0,1,76.0,TA,Ex,TA,TA,RFn,None,163000
2166,4,1,6,0.0,0,77.0,TA,Ex,TA,TA,Unf,None,109008
1890,4,0,7,0.0,1,21.0,TA,TA,TA,TA,Unf,None,97000
3908,7,2,8,442.0,0,48.0,TA,Ex,Gd,Gd,RFn,BrkFace,224900
3521,7,2,10,0.0,2,77.92,Gd,Ex,Gd,Gd,RFn,None,205000
2258,7,2,9,170.0,1,71.28,TA,Gd,Gd,Gd,Fin,BrkFace,163900
1133,4,0,6,0.0,0,58.0,TA,Ex,TA,TA,Unf,None,86000
